protocol,subset,condition,fold,held_out,lambda,train_median_err_pct,n_train_views
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,4,brics-odroid-007_cam0,10.0,10.237,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,4,brics-odroid-007_cam0,10.0,9.7885,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,4,brics-odroid-007_cam0,10.0,9.0367,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,5,brics-odroid-007_cam1,0.01,9.9913,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,5,brics-odroid-007_cam1,10.0,9.7117,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,5,brics-odroid-007_cam1,10.0,8.8706,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,7,brics-odroid-009_cam1,10.0,8.5809,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,7,brics-odroid-009_cam1,0.01,9.0277,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,7,brics-odroid-009_cam1,10.0,8.6032,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,8,brics-odroid-010_cam0,0.01,9.9913,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,8,brics-odroid-010_cam0,10.0,9.7117,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,8,brics-odroid-010_cam0,10.0,8.9621,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,10,brics-odroid-011_cam0,0.01,9.9311,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,10,brics-odroid-011_cam0,10.0,9.701,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,10,brics-odroid-011_cam0,10.0,8.9994,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,11,brics-odroid-012_cam0,0.01,9.9311,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,11,brics-odroid-012_cam0,10.0,9.701,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,11,brics-odroid-012_cam0,10.0,8.9164,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,12,brics-odroid-012_cam1,0.01,9.9913,101
