sequence,camera,frame,hand,view_class,median_err_distortion_on_px,median_err_distortion_off_px,delta_px,distortion_helps
p52-instrument-0034/034,brics-odroid-012_cam1,72,left,good,6.3004,19.0635,12.7631,1
p41-plant-0004/004,brics-odroid-022_cam1,8,right,good,6.5711,19.642,13.0709,1
p44-dog-0004/004,brics-odroid-020_cam0,192,right,bad,141.6773,144.1193,2.4419,1
p52-instrument-0034/034,brics-odroid-027_cam0,72,right,bad,332.408,364.5689,32.1609,1
p44-dog-0004/004,brics-odroid-028_cam0,160,left,bad,122.1889,129.1873,6.9984,1
p44-dog-0004/004,brics-odroid-019_cam1,272,right,bad,187.2969,186.9471,-0.3498,0
p41-boxing-0021/021,brics-odroid-014_cam1,342,right,bad,177.3626,178.083,0.7204,1
p44-dog-0004/004,brics-odroid-014_cam1,176,right,bad,150.126,151.4042,1.2782,1
p44-dog-0004/004,brics-odroid-010_cam1,128,left,bad,241.9804,244.1273,2.1468,1
p44-dog-0004/004,brics-odroid-030_cam1,240,left,bad,373.9275,381.3098,7.3823,1
p52-instrument-0034/034,brics-odroid-026_cam1,0,left,bad,363.1894,389.3975,26.2081,1
p41-plant-0004/004,brics-odroid-015_cam1,96,right,bad,95.7491,93.4426,-2.3066,0
p41-boxing-0021/021,brics-odroid-021_cam1,126,right,bad,181.1026,196.588,15.4854,1
p52-instrument-0034/034,brics-odroid-027_cam0,114,right,bad,329.7247,354.4494,24.7247,1
p44-dog-0004/004,brics-odroid-028_cam0,0,left,bad,125.0982,177.199,52.1007,1
p44-dog-0004/004,brics-odroid-029_cam1,304,right,bad,211.3257,213.7672,2.4415,1
p44-dog-0004/004,brics-odroid-015_cam1,288,left,bad,84.6755,85.154,0.4785,1
p41-boxing-0021/021,brics-odroid-029_cam0,234,left,bad,286.9277,286.274,-0.6537,0
p44-dog-0004/004,brics-odroid-029_cam1,272,right,bad,214.1079,218.1836,4.0757,1
p41-boxing-0021/021,brics-odroid-027_cam0,144,right,bad,163.135,214.7283,51.5933,1
p36-tea-0010/010,brics-odroid-010_cam0,305,left,bad,113.5844,112.5991,-0.9853,0
p44-dog-0004/004,brics-odroid-019_cam1,80,right,bad,173.8376,173.6876,-0.15,0
p52-instrument-0034/034,brics-odroid-029_cam0,72,right,bad,445.1141,464.2089,19.0948,1
p41-plant-0004/004,brics-odroid-020_cam1,16,right,bad,70.6955,70.4114,-0.2842,0
p36-tea-0010/010,brics-odroid-028_cam0,237,left,bad,76.8118,76.3329,-0.4789,0
p44-dog-0004/004,brics-odroid-029_cam1,0,right,bad,178.7025,181.1311,2.4286,1
p36-tea-0010/010,brics-odroid-026_cam0,51,left,bad,199.6989,224.5165,24.8175,1
p36-tea-0010/010,brics-odroid-026_cam0,102,right,bad,188.5957,199.2533,10.6576,1
p52-instrument-0034/034,brics-odroid-027_cam0,84,right,bad,337.0318,373.3799,36.3481,1
p44-dog-0004/004,brics-odroid-026_cam0,224,left,bad,504.3446,535.3444,30.9999,1
p44-dog-0004/004,brics-odroid-020_cam0,96,right,bad,189.3568,191.0576,1.7008,1
p41-plant-0004/004,brics-odroid-015_cam1,152,right,bad,103.5063,102.7742,-0.732,0
p41-boxing-0021/021,brics-odroid-029_cam0,180,left,bad,166.3619,167.2853,0.9234,1
p41-boxing-0021/021,brics-odroid-026_cam0,288,right,bad,158.2742,206.2389,47.9647,1
p44-dog-0004/004,brics-odroid-019_cam1,256,right,bad,134.0223,132.6818,-1.3405,0
p44-dog-0004/004,brics-odroid-029_cam0,64,right,bad,273.7318,302.3111,28.5793,1
p36-tea-0010/010,brics-odroid-020_cam1,320,right,bad,227.3175,227.2984,-0.0191,0
p44-dog-0004/004,brics-odroid-012_cam1,240,left,bad,66.9305,67.5485,0.6181,1
p52-instrument-0034/034,brics-odroid-029_cam0,108,right,bad,446.2303,464.6899,18.4596,1
p52-instrument-0034/034,brics-odroid-029_cam0,12,right,bad,400.3396,415.8705,15.5309,1
p41-plant-0004/004,brics-odroid-010_cam0,48,left,bad,76.3774,78.144,1.7666,1
p36-tea-0010/010,brics-odroid-020_cam1,153,right,bad,171.3941,168.6307,-2.7634,0
p44-dog-0004/004,brics-odroid-011_cam0,112,left,bad,75.9041,75.9044,0.0003,1
p41-boxing-0021/021,brics-odroid-029_cam0,234,right,bad,288.155,323.2395,35.0845,1
p44-dog-0004/004,brics-odroid-014_cam1,112,right,bad,225.3696,227.1284,1.7588,1
p44-dog-0004/004,brics-odroid-020_cam1,240,right,bad,178.3094,177.2635,-1.0458,0
p44-dog-0004/004,brics-odroid-028_cam0,96,right,bad,64.1687,64.7456,0.5768,1
p52-instrument-0034/034,brics-odroid-029_cam0,42,right,bad,391.3914,408.6612,17.2698,1
p41-boxing-0021/021,brics-odroid-024_cam0,270,right,bad,69.6145,68.887,-0.7274,0
p36-tea-0010/010,brics-odroid-027_cam1,153,right,bad,199.0056,206.5444,7.5388,1
p36-tea-0010/010,brics-odroid-008_cam0,339,left,bad,266.6519,266.6475,-0.0044,0
p36-tea-0010/010,brics-odroid-030_cam0,286,right,bad,194.16,218.3696,24.2097,1
p44-dog-0004/004,brics-odroid-014_cam1,288,right,bad,161.9815,162.2101,0.2286,1
p36-tea-0010/010,brics-odroid-001_cam0,220,left,bad,60.8577,60.851,-0.0067,0
p41-boxing-0021/021,brics-odroid-026_cam1,270,left,bad,191.8514,195.6694,3.8179,1
p44-dog-0004/004,brics-odroid-028_cam0,112,left,bad,119.3837,155.8147,36.431,1
p36-tea-0010/010,brics-odroid-020_cam0,0,right,bad,720.2993,721.1201,0.8208,1
p44-dog-0004/004,brics-odroid-026_cam1,224,left,bad,294.1,301.3038,7.2038,1
p41-boxing-0021/021,brics-odroid-019_cam1,270,right,bad,139.7696,136.643,-3.1266,0
p52-instrument-0034/034,brics-odroid-029_cam0,18,right,bad,365.3021,374.5113,9.2092,1
p44-dog-0004/004,brics-odroid-015_cam1,64,left,bad,113.6541,115.0457,1.3915,1
p36-tea-0010/010,brics-odroid-030_cam0,34,right,bad,450.5302,490.6057,40.0755,1
p44-dog-0004/004,brics-odroid-020_cam0,272,right,bad,187.8476,188.2258,0.3782,1
p41-boxing-0021/021,brics-odroid-021_cam1,144,right,bad,125.0999,120.7547,-4.3452,0
p41-boxing-0021/021,brics-odroid-029_cam0,198,right,bad,164.4915,171.3304,6.839,1
p44-dog-0004/004,brics-odroid-019_cam1,288,right,bad,133.564,131.8235,-1.7405,0
p44-dog-0004/004,brics-odroid-028_cam0,96,left,bad,135.6317,175.3823,39.7506,1
p36-tea-0010/010,brics-odroid-014_cam1,254,left,bad,205.6831,205.3852,-0.2979,0
p52-instrument-0034/034,brics-odroid-027_cam0,66,left,bad,314.3251,314.2078,-0.1173,0
p44-dog-0004/004,brics-odroid-030_cam1,16,right,bad,404.7282,415.2561,10.5279,1
p52-instrument-0034/034,brics-odroid-010_cam1,66,left,bad,115.7153,115.7766,0.0614,1
p44-dog-0004/004,brics-odroid-015_cam1,32,left,bad,130.5246,132.5666,2.042,1
p44-dog-0004/004,brics-odroid-022_cam1,304,left,bad,73.8161,70.4499,-3.3661,0
p44-dog-0004/004,brics-odroid-019_cam1,48,right,bad,171.2826,171.1652,-0.1174,0
p44-dog-0004/004,brics-odroid-010_cam1,176,left,bad,100.4067,100.4255,0.0188,1
p44-dog-0004/004,brics-odroid-030_cam1,240,right,bad,374.5674,379.6502,5.0828,1
p52-instrument-0034/034,brics-odroid-027_cam1,90,right,bad,396.3674,398.7333,2.366,1
p44-dog-0004/004,brics-odroid-017_cam1,32,right,bad,83.9181,83.8481,-0.07,0
p44-dog-0004/004,brics-odroid-026_cam0,48,left,bad,501.3255,548.3235,46.9979,1
p44-dog-0004/004,brics-odroid-010_cam1,272,left,bad,60.2516,85.9139,25.6624,1
p44-dog-0004/004,brics-odroid-022_cam0,112,left,bad,126.1654,139.66,13.4946,1
p41-boxing-0021/021,brics-odroid-026_cam1,18,right,bad,185.4599,185.8074,0.3475,1
p52-instrument-0034/034,brics-odroid-014_cam1,6,left,bad,317.3451,324.9121,7.5671,1
p41-plant-0004/004,brics-odroid-030_cam1,48,left,bad,238.9915,240.1519,1.1604,1
p44-dog-0004/004,brics-odroid-020_cam0,112,right,bad,234.3597,235.2757,0.916,1
p36-tea-0010/010,brics-odroid-002_cam0,17,right,bad,514.0381,531.8227,17.7846,1
p41-plant-0004/004,brics-odroid-022_cam0,56,right,bad,119.2856,116.6305,-2.6552,0
p41-boxing-0021/021,brics-odroid-019_cam1,18,right,bad,79.9237,78.1104,-1.8133,0
p36-tea-0010/010,brics-odroid-027_cam0,218,right,bad,164.6994,207.4432,42.7438,1
