condition,sequence,camera,physical_camera_id,L_hand_max_px,preferred_q,boundary,correct_direction,f_scene,f_reference
N1,p36-tea-0010,brics-odroid-012_cam0,brics-odroid-012_cam0,0.7374191880226135,1.4394587278366089,0,1,862.0792846679688,926.425415
N1,p36-tea-0010,brics-odroid-012_cam1,brics-odroid-012_cam1,1.8305481672286987,1.3531973361968994,0,1,792.2678833007812,926.514709
N1,p36-tea-0010,brics-odroid-014_cam1,brics-odroid-014_cam1,0.643112301826477,1.4394587278366089,0,1,849.4110717773438,922.314819
N1,p36-tea-0010,brics-odroid-015_cam0,brics-odroid-015_cam0,2.392113208770752,1.1795625686645508,0,1,820.3155517578125,914.97937
N1,p36-tea-0010,brics-odroid-015_cam1,brics-odroid-015_cam1,1.3795596361160278,1.4493764638900757,0,1,794.5360107421875,930.794434
N1,p36-tea-0010,brics-odroid-016_cam0,brics-odroid-016_cam0,1.7135958671569824,1.4795417785644531,0,0,948.880126953125,919.84082
N1,p36-tea-0010,brics-odroid-017_cam0,brics-odroid-017_cam0,0.9465494155883789,1.4897358417510986,0,1,877.2437438964844,921.894775
N1,p36-tea-0010,brics-odroid-017_cam1,brics-odroid-017_cam1,1.505639225244522,1.4493764638900757,0,1,865.5918273925781,938.321167
N1,p36-tea-0010,brics-odroid-019_cam1,brics-odroid-019_cam1,1.6834453344345093,1.343937635421753,0,0,934.014892578125,920.925659
N1,p36-tea-0010,brics-odroid-020_cam0,brics-odroid-020_cam0,3.037459135055542,1.2041122913360596,0,1,828.335693359375,899.424316
N1,p36-tea-0010,brics-odroid-020_cam1,brics-odroid-020_cam1,0.8206468820571899,0.7759227752685547,0,0,798.2892150878906,925.858521
N1,p36-tea-0010,brics-odroid-021_cam0,brics-odroid-021_cam0,1.707330584526062,1.1088758707046509,0,1,831.4344482421875,938.355225
N1,p36-tea-0010,brics-odroid-021_cam1,brics-odroid-021_cam1,1.4553091526031494,1.4198262691497803,0,1,779.1639099121094,920.78302
N1,p36-tea-0010,brics-odroid-022_cam0,brics-odroid-022_cam0,1.7880797386169434,1.5,1,1,823.7421264648438,916.312195
N1,p36-tea-0010,brics-odroid-022_cam1,brics-odroid-022_cam1,1.714031994342804,1.5,1,1,835.8916625976562,903.016357
N1,p36-tea-0010,brics-odroid-023_cam0,brics-odroid-023_cam0,0.627212643623352,1.049607276916504,0,1,867.6093444824219,914.887695
