condition,sequence,camera,physical_camera_id,f_scene_only,f_reference,f_lam_0.01,f_lam_0.03,f_lam_0.1,f_lam_0.3,f_lam_1.0,f_lam_3.0,f_lam_10.0
N4,p36-tea-0010,brics-odroid-002_cam0,brics-odroid-002_cam0,877.6286051128469,940.340637,877.6417167756413,877.6679809502211,877.7603367107382,878.0279623147031,879.0107467660573,882.1253074375738,895.315900992983
N4,p36-tea-0010,brics-odroid-006_cam0,brics-odroid-006_cam0,852.0559417524189,919.383789,852.0522556284936,852.0448833305065,852.0190797611159,851.9453507646317,851.6872466229232,850.949354691359,848.356915874441
N4,p36-tea-0010,brics-odroid-007_cam0,brics-odroid-007_cam0,883.5842022711734,924.420349,883.5873193973301,883.5935590957245,883.615455390803,883.6785119952939,883.9051621095044,884.608466948727,903.5016053464185
N4,p36-tea-0010,brics-odroid-007_cam1,brics-odroid-007_cam1,868.8830908524818,931.304504,868.8745078700721,868.8573107146534,868.7967911774322,868.6210035567643,867.9701159604556,865.7360847099534,859.0115558107209
N4,p36-tea-0010,brics-odroid-009_cam1,brics-odroid-009_cam1,756.7067253516059,931.934998,756.7108854996432,756.7191884670277,756.748068158677,756.8290633639041,757.0959517562969,757.739990444435,759.1618065721007
N4,p36-tea-0010,brics-odroid-010_cam0,brics-odroid-010_cam0,956.491645327415,932.026672,956.5115195314963,956.5512622226111,956.690301640826,957.087043532833,958.4696755956933,962.3703367139346,972.9126269715091
N4,p36-tea-0010,brics-odroid-010_cam1,brics-odroid-010_cam1,815.4442459749152,934.134155,815.4397023292042,815.4306149409439,815.3988080651932,815.3079225608436,814.9897215754056,814.0797033011387,810.8840490236547
N4,p36-tea-0010,brics-odroid-011_cam0,brics-odroid-011_cam0,803.4896556604573,922.774414,803.4876786608394,803.4837246531628,803.4698855376581,803.430344447921,803.2919417703807,802.8964295762872,801.5112505505426
N4,p36-tea-0010,brics-odroid-012_cam0,brics-odroid-012_cam0,862.0793186119304,926.425415,862.0802298664389,862.0820534077058,862.088446661248,862.1068066902449,862.1721790475974,862.3690438135166,863.2022949388804
N4,p36-tea-0010,brics-odroid-012_cam1,brics-odroid-012_cam1,792.2679144959494,926.514709,792.2988721439772,792.3615295521599,792.5889429341353,793.3172614915915,796.5320406806861,802.3802987444761,806.083252318876
N4,p36-tea-0010,brics-odroid-014_cam1,brics-odroid-014_cam1,849.4111052225006,922.314819,849.4111533696978,849.4112489141891,849.4115756466756,849.4124480244357,849.414931492991,849.419218935387,849.4244542007452
N4,p36-tea-0010,brics-odroid-015_cam0,brics-odroid-015_cam0,820.315584057347,914.97937,820.3228450703131,820.3373662853552,820.3881820252078,820.5332969251726,821.0403497508239,822.4818305419847,828.1653470848712
