frame,time_sec,hand,legacy_root_z_m,anycalib_root_z_m,e2_root_z_m
183,6.1,Left,2.238038,0.469087,0.523547
183,6.1,Right,1.166476,0.246849,0.275161
184,6.133,Left,2.211513,0.463585,0.517398
184,6.133,Right,1.169906,0.24756,0.275956
185,6.167,Left,2.235613,0.468583,0.522984
185,6.167,Right,1.16973,0.247523,0.275915
186,6.2,Left,2.17106,0.455197,0.508022
186,6.2,Right,1.169376,0.247449,0.275832
187,6.233,Left,2.207106,0.462671,0.516376
187,6.233,Right,1.152019,0.243855,0.271814
188,6.267,Left,2.25028,0.471624,0.526382
188,6.267,Right,1.155344,0.244546,0.272586
189,6.3,Left,2.268398,0.475381,0.530582
189,6.3,Right,1.171442,0.247877,0.276311
190,6.333,Left,2.262251,0.474104,0.529155
190,6.333,Right,1.170874,0.24776,0.27618
191,6.367,Left,2.226111,0.46661,0.520779
191,6.367,Right,1.170699,0.247724,0.276139
192,6.4,Left,2.207676,0.462787,0.516506
192,6.4,Right,1.16904,0.247379,0.275754
193,6.433,Left,2.200262,0.461247,0.514786
193,6.433,Right,1.158165,0.245122,0.273232
194,6.467,Left,2.204185,0.46206,0.515694
194,6.467,Right,1.150284,0.243489,0.271406
195,6.5,Left,2.200909,0.461383,0.514937
195,6.5,Right,1.150082,0.243448,0.27136
196,6.533,Left,2.169142,0.454877,0.507653
196,6.533,Right,1.153191,0.244093,0.272081
197,6.567,Left,2.164083,0.453836,0.506489
197,6.567,Right,1.159075,0.245313,0.273444
198,6.6,Left,2.168519,0.454708,0.50747
198,6.6,Right,1.143006,0.241982,0.269721
199,6.633,Left,2.138344,0.44846,0.500486
199,6.633,Right,1.139753,0.241308,0.268968
200,6.667,Left,2.145395,0.449977,0.502174
200,6.667,Right,1.146074,0.242622,0.270436
201,6.7,Left,2.142313,0.449313,0.501435
201,6.7,Right,1.147469,0.242906,0.270755
202,6.733,Left,2.151135,0.451185,0.503521
202,6.733,Right,1.159904,0.245485,0.273637
203,6.767,Left,2.137404,0.448291,0.500293
203,6.767,Right,1.158963,0.24529,0.273419
204,6.8,Left,2.160975,0.453213,0.505789
204,6.8,Right,1.169023,0.247377,0.275752
205,6.833,Left,2.142297,0.449248,0.501371
205,6.833,Right,1.155664,0.244607,0.272656
206,6.867,Left,2.134458,0.447598,0.49953
206,6.867,Right,1.154802,0.244428,0.272455
207,6.9,Left,2.145373,0.449914,0.502112
207,6.9,Right,1.162816,0.246089,0.274312
208,6.933,Left,2.123687,0.445356,0.497027
208,6.933,Right,1.165035,0.24655,0.274827
209,6.967,Left,2.123321,0.44533,0.496989
209,6.967,Right,1.163026,0.246134,0.274362
210,7.0,Left,2.115573,0.443705,0.495177
210,7.0,Right,1.15486,0.24444,0.272469
211,7.033,Left,2.167397,0.454565,0.507298
211,7.033,Right,1.137479,0.240835,0.26844
212,7.067,Left,2.181583,0.45749,0.510569
212,7.067,Right,1.142572,0.241892,0.269621
213,7.1,Left,2.165848,0.454108,0.506807
213,7.1,Right,1.155575,0.244596,0.272642
214,7.133,Left,2.182105,0.457625,0.510716
214,7.133,Right,1.160083,0.24553,0.273686
215,7.167,Left,2.172798,0.455564,0.508432
215,7.167,Right,1.165017,0.246548,0.274825
216,7.2,Left,2.170501,0.455076,0.507888
216,7.2,Right,1.160206,0.245551,0.273711
217,7.233,Left,2.207066,0.462659,0.516364
217,7.233,Right,1.159405,0.245385,0.273525
218,7.267,Left,2.175261,0.456067,0.508995
218,7.267,Right,1.157736,0.245037,0.273136
219,7.3,Left,2.259506,0.473535,0.528519
219,7.3,Right,1.15688,0.24486,0.272938
220,7.333,Left,2.244658,0.470457,0.525079
220,7.333,Right,1.157387,0.244964,0.273055
221,7.367,Left,2.204611,0.462155,0.5158
221,7.367,Right,1.162867,0.246101,0.274325
222,7.4,Left,2.18888,0.458894,0.512154
222,7.4,Right,1.163233,0.246175,0.274409
223,7.433,Left,2.291885,0.480248,0.536022
223,7.433,Right,1.135489,0.240422,0.267979
224,7.467,Left,2.281228,0.478038,0.533552
224,7.467,Right,1.122524,0.237733,0.264973
225,7.5,Left,2.313678,0.48477,0.541076
225,7.5,Right,1.122666,0.237764,0.265007
226,7.533,Left,2.182588,0.457586,0.510693
226,7.533,Right,1.147233,0.242855,0.270698
227,7.567,Left,2.20561,0.462359,0.516028
227,7.567,Right,1.157096,0.244901,0.272985
228,7.6,Left,2.227141,0.466825,0.52102
228,7.6,Right,1.16099,0.24571,0.273888
229,7.633,Left,2.194846,0.460128,0.513535
229,7.633,Right,1.167887,0.247141,0.275488
230,7.667,Left,2.183678,0.457812,0.510945
230,7.667,Right,1.166673,0.246889,0.275206
231,7.7,Left,2.180787,0.457213,0.510276
231,7.7,Right,1.168671,0.247304,0.275669
232,7.733,Left,2.211731,0.463629,0.517447
232,7.733,Right,1.164735,0.246486,0.274756
233,7.767,Left,2.195384,0.46024,0.513659
233,7.767,Right,1.161686,0.245853,0.274049
234,7.8,Left,2.211361,0.463553,0.517362
234,7.8,Right,1.164078,0.24635,0.274604
235,7.833,Left,2.205044,0.462243,0.515898
235,7.833,Right,1.162479,0.246018,0.274233
236,7.867,Left,2.200058,0.461209,0.514742
236,7.867,Right,1.16128,0.24577,0.273956
237,7.9,Left,2.203748,0.461973,0.515596
237,7.9,Right,1.152966,0.244046,0.272029
238,7.933,Left,2.223104,0.465987,0.520082
238,7.933,Right,1.146191,0.242643,0.27046
239,7.967,Left,2.2373,0.468933,0.523375
239,7.967,Right,1.129359,0.23915,0.266556
240,8.0,Left,2.22315,0.465999,0.520096
240,8.0,Right,1.119876,0.237184,0.264359
241,8.033,Left,2.223488,0.466068,0.520173
241,8.033,Right,1.160527,0.245611,0.273779
242,8.067,Left,2.214391,0.464182,0.518065
242,8.067,Right,1.130468,0.239374,0.266808
243,8.1,Left,2.216622,0.464644,0.518581
243,8.1,Right,1.14606,0.24261,0.270424
244,8.133,Left,2.20218,0.461648,0.515233
244,8.133,Right,1.13663,0.240653,0.268238
245,8.167,Left,2.215361,0.464384,0.51829
245,8.167,Right,1.153569,0.244169,0.272166
246,8.2,Left,2.228963,0.467206,0.521445
246,8.2,Right,1.169231,0.247416,0.275796
247,8.233,Left,2.183429,0.457766,0.510893
247,8.233,Right,1.143448,0.242071,0.269821
248,8.267,Left,2.150293,0.450892,0.503211
248,8.267,Right,1.149814,0.243389,0.271295
249,8.3,Left,2.126347,0.445926,0.497661
249,8.3,Right,1.150864,0.243608,0.27154
250,8.333,Left,2.179398,0.456928,0.509957
250,8.333,Right,1.138321,0.241006,0.268631
251,8.367,Left,2.154072,0.451676,0.504087
251,8.367,Right,1.139176,0.241184,0.26883
252,8.4,Left,2.183888,0.457858,0.510997
252,8.4,Right,1.178129,0.249264,0.27786
253,8.433,Left,2.131433,0.44697,0.498829
253,8.433,Right,1.196777,0.253133,0.282184
254,8.467,Left,2.11379,0.443313,0.494742
254,8.467,Right,1.199483,0.253694,0.282811
255,8.5,Left,2.127915,0.446242,0.498015
255,8.5,Right,1.181904,0.250048,0.278737
256,8.533,Left,2.123268,0.445278,0.496938
256,8.533,Right,1.178091,0.249255,0.277851
257,8.567,Left,2.166329,0.454209,0.506919
257,8.567,Right,1.153414,0.244137,0.27213
258,8.6,Left,2.180682,0.457188,0.510249
258,8.6,Right,1.155624,0.244601,0.272649
259,8.633,Left,2.155512,0.451968,0.504414
259,8.633,Right,1.194969,0.252764,0.281771
260,8.667,Left,2.175683,0.456152,0.509091
260,8.667,Right,1.200587,0.253925,0.283069
261,8.7,Left,2.149323,0.450682,0.502978
261,8.7,Right,1.198284,0.253443,0.282531
262,8.733,Left,2.163872,0.453701,0.506352
262,8.733,Right,1.17973,0.249596,0.278232
263,8.767,Left,2.149023,0.450619,0.502907
263,8.767,Right,1.180603,0.249779,0.278436
264,8.8,Left,2.15447,0.451751,0.504172
264,8.8,Right,1.169345,0.247444,0.275827
265,8.833,Left,2.152348,0.451309,0.503678
265,8.833,Right,1.157585,0.245006,0.273101
266,8.867,Left,2.163943,0.453715,0.506367
266,8.867,Right,1.168326,0.24723,0.275587
267,8.9,Left,2.147707,0.450346,0.502602
267,8.9,Right,1.160924,0.245694,0.273871
268,8.933,Left,2.171733,0.455334,0.508176
268,8.933,Right,1.166211,0.24679,0.275095
269,8.967,Left,2.193663,0.459882,0.51326
269,8.967,Right,1.168939,0.247357,0.27573
270,9.0,Left,2.16044,0.452988,0.505555
270,9.0,Right,1.189637,0.251649,0.280526
271,9.033,Left,2.18133,0.457321,0.510397
271,9.033,Right,1.18932,0.251586,0.280456
272,9.067,Left,2.187352,0.45857,0.511793
272,9.067,Right,1.175132,0.248645,0.277169
273,9.1,Left,2.182585,0.45758,0.510687
273,9.1,Right,1.167644,0.247092,0.275433
274,9.133,Left,2.170498,0.455069,0.507881
274,9.133,Right,1.162905,0.246113,0.274338
275,9.167,Left,2.179506,0.456939,0.509971
275,9.167,Right,1.16399,0.246338,0.27459
276,9.2,Left,2.192678,0.459673,0.513026
276,9.2,Right,1.187123,0.251139,0.279955
277,9.233,Left,2.19842,0.460865,0.514358
277,9.233,Right,1.212993,0.2565,0.285947
278,9.267,Left,2.190612,0.459248,0.512551
278,9.267,Right,1.181278,0.249923,0.278596
279,9.3,Left,2.205716,0.46238,0.516052
279,9.3,Right,1.179241,0.249499,0.278122
280,9.333,Left,2.157006,0.452279,0.504762
280,9.333,Right,1.180044,0.249663,0.278307
281,9.367,Left,2.145527,0.449898,0.5021
281,9.367,Right,1.180361,0.249731,0.278382
282,9.4,Left,2.176153,0.456249,0.509199
282,9.4,Right,1.179138,0.249475,0.278096
283,9.433,Left,2.192493,0.45964,0.512989
283,9.433,Right,1.175646,0.24875,0.277286
284,9.467,Left,2.159572,0.452811,0.505356
284,9.467,Right,1.187516,0.251216,0.280042
285,9.5,Left,2.172729,0.45554,0.508406
285,9.5,Right,1.200135,0.253834,0.282967
286,9.533,Left,2.198401,0.460865,0.514358
286,9.533,Right,1.207993,0.255462,0.284787
