frame,time_sec,hand,legacy_root_z_m,anycalib_root_z_m,e2_root_z_m
221,7.367,Right,1.831196,0.362095,0.410644
222,7.4,Left,0.964618,0.193104,0.2186
222,7.4,Right,1.782913,0.352681,0.399946
223,7.433,Left,0.943825,0.189048,0.213991
223,7.433,Right,1.793535,0.354752,0.402299
224,7.467,Left,0.943514,0.188988,0.213923
224,7.467,Right,1.832825,0.362413,0.411005
225,7.5,Left,0.930391,0.18643,0.211015
225,7.5,Right,1.72482,0.341349,0.387068
226,7.533,Left,0.932807,0.186901,0.211551
226,7.533,Right,1.700937,0.336691,0.381774
227,7.567,Left,0.917105,0.18384,0.208072
227,7.567,Right,1.683243,0.333238,0.377852
228,7.6,Left,0.90731,0.181926,0.205898
228,7.6,Right,1.677692,0.332154,0.37662
229,7.633,Left,0.900205,0.180544,0.204326
229,7.633,Right,1.479986,0.293595,0.332801
230,7.667,Left,0.903118,0.18111,0.20497
231,7.7,Left,0.88859,0.178278,0.201751
232,7.733,Left,0.894434,0.179417,0.203046
233,7.767,Left,0.905763,0.181628,0.205558
234,7.8,Left,0.893128,0.179164,0.202758
235,7.833,Left,0.878822,0.176377,0.19959
236,7.867,Left,0.877153,0.176052,0.199221
237,7.9,Left,0.862441,0.173183,0.195961
238,7.933,Right,0.879321,0.176459,0.199686
239,7.967,Left,0.875705,0.175764,0.198895
240,8.0,Left,0.911025,0.182652,0.206722
241,8.033,Left,0.941839,0.188666,0.213556
242,8.067,Left,0.948071,0.189881,0.214937
243,8.1,Left,0.947419,0.189754,0.214792
244,8.133,Left,0.952031,0.190653,0.215814
245,8.167,Left,0.939954,0.188295,0.213135
246,8.2,Left,0.946994,0.189667,0.214694
247,8.233,Left,0.928971,0.186149,0.210697
248,8.267,Left,0.905393,0.181553,0.205474
249,8.3,Left,0.896033,0.179727,0.203399
250,8.333,Left,0.854773,0.171684,0.194258
250,8.333,Right,1.374942,0.273113,0.309525
251,8.367,Left,0.870604,0.174768,0.197763
251,8.367,Right,1.486345,0.294836,0.334212
252,8.4,Left,0.879599,0.176522,0.199757
252,8.4,Right,1.541404,0.305576,0.346416
253,8.433,Left,0.870378,0.174727,0.197716
253,8.433,Right,1.492179,0.295976,0.335507
254,8.467,Left,0.856296,0.17198,0.194595
254,8.467,Right,1.524012,0.302184,0.342562
255,8.5,Left,0.862343,0.17316,0.195935
255,8.5,Right,1.533265,0.303992,0.344615
256,8.533,Left,0.862021,0.173098,0.195864
256,8.533,Right,1.592269,0.315501,0.357694
257,8.567,Left,0.866301,0.173935,0.196816
257,8.567,Right,1.571595,0.311471,0.353114
258,8.6,Left,0.871529,0.174954,0.197973
258,8.6,Right,1.595042,0.316045,0.358312
259,8.633,Left,0.872317,0.175107,0.198148
259,8.633,Right,1.591434,0.315341,0.357511
260,8.667,Left,0.869273,0.174515,0.197474
260,8.667,Right,1.608249,0.31862,0.361238
261,8.7,Left,0.879119,0.176436,0.199657
261,8.7,Right,1.60693,0.318363,0.360946
262,8.733,Left,0.881254,0.176852,0.20013
262,8.733,Right,1.558467,0.308908,0.350201
263,8.767,Left,0.885831,0.177746,0.201145
263,8.767,Right,1.532776,0.303898,0.344508
264,8.8,Left,0.895572,0.179645,0.203304
264,8.8,Right,1.518171,0.301049,0.341271
265,8.833,Left,0.901407,0.180783,0.204598
265,8.833,Right,1.539203,0.30515,0.345932
266,8.867,Left,0.899311,0.180375,0.204133
266,8.867,Right,1.53065,0.303483,0.344037
267,8.9,Left,0.895194,0.179573,0.203222
267,8.9,Right,1.543644,0.306016,0.346915
268,8.933,Left,0.898508,0.180218,0.203955
268,8.933,Right,1.526505,0.302673,0.343116
269,8.967,Left,0.893931,0.179326,0.202941
269,8.967,Right,1.50736,0.298939,0.338873
270,9.0,Left,0.885572,0.177697,0.20109
270,9.0,Right,1.497227,0.296963,0.336628
271,9.033,Left,0.892612,0.17907,0.202651
271,9.033,Right,1.526723,0.302714,0.343164
272,9.067,Left,0.893399,0.179223,0.202824
272,9.067,Right,1.519676,0.301341,0.341603
273,9.1,Left,0.882152,0.177028,0.20033
273,9.1,Right,1.514775,0.300386,0.340517
274,9.133,Left,0.884653,0.177516,0.200885
274,9.133,Right,1.525286,0.302435,0.342846
275,9.167,Left,0.889528,0.178467,0.201965
275,9.167,Right,1.536863,0.304693,0.345412
276,9.2,Left,0.890708,0.178697,0.202227
276,9.2,Right,1.530463,0.303444,0.343993
277,9.233,Left,0.887661,0.178103,0.201552
277,9.233,Right,1.531755,0.303695,0.344279
278,9.267,Left,0.896739,0.179874,0.203564
278,9.267,Right,1.532339,0.303809,0.344408
279,9.3,Left,0.902309,0.180959,0.204797
279,9.3,Right,1.482506,0.294091,0.333364
280,9.333,Left,0.899366,0.180384,0.204144
280,9.333,Right,1.534805,0.30429,0.344954
281,9.367,Left,0.890099,0.178577,0.20209
281,9.367,Right,1.543266,0.305941,0.34683
282,9.4,Left,0.890098,0.178578,0.202091
282,9.4,Right,1.558476,0.308906,0.3502
283,9.433,Left,0.88808,0.178183,0.201643
283,9.433,Right,1.571127,0.311373,0.353004
284,9.467,Left,0.889311,0.178423,0.201916
284,9.467,Right,1.583131,0.313714,0.355664
285,9.5,Left,0.890563,0.178667,0.202193
285,9.5,Right,1.553054,0.307848,0.348998
286,9.533,Left,0.891981,0.178944,0.202507
286,9.533,Right,1.550886,0.307426,0.348518
287,9.567,Left,0.894768,0.179488,0.203126
287,9.567,Right,1.572796,0.311699,0.353375
288,9.6,Left,0.891729,0.178896,0.202453
288,9.6,Right,1.597192,0.316457,0.358781
289,9.633,Left,0.893315,0.179205,0.202804
289,9.633,Right,1.597346,0.316487,0.358815
290,9.667,Left,0.887483,0.178069,0.201513
290,9.667,Right,1.58287,0.313664,0.355607
291,9.7,Left,0.898167,0.180151,0.203879
291,9.7,Right,1.587563,0.314581,0.356649
292,9.733,Left,0.898694,0.180254,0.203996
292,9.733,Right,1.587554,0.314577,0.356645
293,9.767,Left,0.900051,0.180518,0.204296
293,9.767,Right,1.603887,0.317762,0.360264
294,9.8,Left,0.901125,0.180728,0.204535
294,9.8,Right,1.587034,0.314478,0.356532
295,9.833,Left,0.899221,0.180357,0.204113
295,9.833,Right,1.594582,0.315948,0.358203
296,9.867,Left,0.899571,0.180425,0.204191
296,9.867,Right,1.60105,0.31721,0.359637
