camera,model,N,n_views,median_rel_err_pct
brics-odroid-022_cam0,geocalib_distorted,1,4,23.383304404974503
brics-odroid-022_cam0,geocalib_distorted,2,4,20.628597346395445
brics-odroid-022_cam0,geocalib_distorted,4,4,15.920811802218154
brics-odroid-022_cam0,geocalib_distorted,8,4,16.749339785126686
brics-odroid-022_cam0,pf_uncentered,1,4,14.933621040588687
brics-odroid-022_cam0,pf_uncentered,2,4,14.098509023990458
brics-odroid-022_cam0,pf_uncentered,4,4,14.502673861764833
brics-odroid-022_cam0,pf_uncentered,8,4,14.538276525938851
brics-odroid-022_cam1,anycalib_gen,1,4,10.335917460296898
brics-odroid-022_cam1,anycalib_gen,2,4,10.3359174602969
brics-odroid-022_cam1,anycalib_gen,4,4,10.252016590231358
brics-odroid-022_cam1,anycalib_gen,8,4,10.421477946716749
brics-odroid-022_cam1,geocalib_distorted,1,4,23.267764635020892
brics-odroid-022_cam1,geocalib_distorted,2,4,23.26776463502089
brics-odroid-022_cam1,geocalib_distorted,4,4,23.606318889431016
brics-odroid-022_cam1,geocalib_distorted,8,4,21.342258652053964
brics-odroid-022_cam1,pf_uncentered,1,4,48.66860909752049
brics-odroid-022_cam1,pf_uncentered,2,4,48.66860909752049
brics-odroid-022_cam1,pf_uncentered,4,4,47.57845510432986
brics-odroid-022_cam1,pf_uncentered,8,4,46.29625036792109
brics-odroid-023_cam0,anycalib_gen,1,5,6.103154069600999
brics-odroid-023_cam0,anycalib_gen,2,5,6.103154069600998
brics-odroid-023_cam0,anycalib_gen,4,5,5.921998485061976
brics-odroid-023_cam0,anycalib_gen,8,5,5.676690049786361
brics-odroid-023_cam0,geocalib_distorted,1,5,6.40085039344638
brics-odroid-023_cam0,geocalib_distorted,2,5,5.83428453126776
brics-odroid-023_cam0,geocalib_distorted,4,5,5.734793586566149
brics-odroid-023_cam0,geocalib_distorted,8,5,6.200208540349868
brics-odroid-023_cam0,pf_uncentered,1,5,30.924222822233933
brics-odroid-023_cam0,pf_uncentered,2,5,30.924222822233936
brics-odroid-023_cam0,pf_uncentered,4,5,30.059727479135322
brics-odroid-023_cam0,pf_uncentered,8,5,31.19389210934791
brics-odroid-024_cam0,anycalib_gen,1,5,11.90797433594426
brics-odroid-024_cam0,anycalib_gen,2,5,11.90797433594426
brics-odroid-024_cam0,anycalib_gen,4,5,12.166551710104132
brics-odroid-024_cam0,anycalib_gen,8,5,12.218021262526776
brics-odroid-024_cam0,geocalib_distorted,1,5,237.14449235842451
brics-odroid-024_cam0,geocalib_distorted,2,5,237.14449235842451
brics-odroid-024_cam0,geocalib_distorted,4,5,204.52225003397555
brics-odroid-024_cam0,geocalib_distorted,8,5,155.21189316542558
brics-odroid-024_cam0,pf_uncentered,1,5,27.887522655657577
brics-odroid-024_cam0,pf_uncentered,2,5,27.887522655657573
brics-odroid-024_cam0,pf_uncentered,4,5,28.50930013035089
brics-odroid-024_cam0,pf_uncentered,8,5,28.90419298235645
brics-odroid-024_cam1,anycalib_gen,1,4,11.64204207696304
brics-odroid-024_cam1,anycalib_gen,2,4,11.64204207696304
brics-odroid-024_cam1,anycalib_gen,4,4,12.021067834238922
brics-odroid-024_cam1,anycalib_gen,8,4,12.313958703768986
brics-odroid-024_cam1,geocalib_distorted,1,4,15.988352180827958
brics-odroid-024_cam1,geocalib_distorted,2,4,15.98835218082796
brics-odroid-024_cam1,geocalib_distorted,4,4,10.91524263030954
brics-odroid-024_cam1,geocalib_distorted,8,4,6.561271669230453
brics-odroid-024_cam1,pf_uncentered,1,4,51.07631165018992
brics-odroid-024_cam1,pf_uncentered,2,4,51.07631165018992
brics-odroid-024_cam1,pf_uncentered,4,4,51.80341454056798
brics-odroid-024_cam1,pf_uncentered,8,4,53.62299520473803
brics-odroid-025_cam0,anycalib_gen,1,4,25.768135121646246
brics-odroid-025_cam0,anycalib_gen,2,4,25.768135121646246
brics-odroid-025_cam0,anycalib_gen,4,4,25.826240487860424
brics-odroid-025_cam0,anycalib_gen,8,4,25.733765134258952
brics-odroid-025_cam0,geocalib_distorted,1,4,13.34059058958862
brics-odroid-025_cam0,geocalib_distorted,2,4,13.340590589588622
brics-odroid-025_cam0,geocalib_distorted,4,4,13.299227786206632
brics-odroid-025_cam0,geocalib_distorted,8,4,12.657594956534194
brics-odroid-025_cam0,pf_uncentered,1,4,12.597480363901392
brics-odroid-025_cam0,pf_uncentered,2,4,10.883578176690612
brics-odroid-025_cam0,pf_uncentered,4,4,11.490596361832896
brics-odroid-025_cam0,pf_uncentered,8,4,12.95098900406228
brics-odroid-025_cam1,anycalib_gen,1,5,5.851962887571453
brics-odroid-025_cam1,anycalib_gen,2,5,5.726612876846436
brics-odroid-025_cam1,anycalib_gen,4,5,6.2514527030757945
brics-odroid-025_cam1,anycalib_gen,8,5,7.533306855790421
brics-odroid-025_cam1,geocalib_distorted,1,5,20.994660439835197
brics-odroid-025_cam1,geocalib_distorted,2,5,20.9946604398352
brics-odroid-025_cam1,geocalib_distorted,4,5,20.969260727012106
brics-odroid-025_cam1,geocalib_distorted,8,5,20.878756877272718
brics-odroid-025_cam1,pf_uncentered,1,5,36.59271867710143
brics-odroid-025_cam1,pf_uncentered,2,5,36.59271867710144
brics-odroid-025_cam1,pf_uncentered,4,5,34.339458871759724
brics-odroid-025_cam1,pf_uncentered,8,5,34.935532225177255
brics-odroid-026_cam0,anycalib_gen,1,4,7.176487262107717
brics-odroid-026_cam0,anycalib_gen,2,4,7.176487262107717
brics-odroid-026_cam0,anycalib_gen,4,4,7.3491588087448765
brics-odroid-026_cam0,anycalib_gen,8,4,7.333006265658561
brics-odroid-026_cam0,geocalib_distorted,1,4,6.704771010645751
brics-odroid-026_cam0,geocalib_distorted,2,4,5.789621859052309
brics-odroid-026_cam0,geocalib_distorted,4,4,5.699688329312851
brics-odroid-026_cam0,geocalib_distorted,8,4,5.856573046693088
brics-odroid-026_cam0,pf_uncentered,1,4,77.26978607197083
brics-odroid-026_cam0,pf_uncentered,2,4,77.26978607197083
brics-odroid-026_cam0,pf_uncentered,4,4,76.77985343822313
brics-odroid-026_cam0,pf_uncentered,8,4,77.39602087262593
brics-odroid-026_cam1,anycalib_gen,1,4,5.203635404047191
brics-odroid-026_cam1,anycalib_gen,2,4,5.203635404047191
brics-odroid-026_cam1,anycalib_gen,4,4,5.238225487439114
brics-odroid-026_cam1,anycalib_gen,8,4,5.311676989413844
brics-odroid-026_cam1,geocalib_distorted,1,4,35.18442579672163
brics-odroid-026_cam1,geocalib_distorted,2,4,31.959369791049088
brics-odroid-026_cam1,geocalib_distorted,4,4,18.25192773345553
brics-odroid-026_cam1,geocalib_distorted,8,4,20.369861291914248
brics-odroid-026_cam1,pf_uncentered,1,4,46.721381518585616
brics-odroid-026_cam1,pf_uncentered,2,4,46.72138151858561
brics-odroid-026_cam1,pf_uncentered,4,4,46.539881906544935
brics-odroid-026_cam1,pf_uncentered,8,4,47.18873866700509
brics-odroid-027_cam0,anycalib_gen,1,5,3.996730743845392
brics-odroid-027_cam0,anycalib_gen,2,5,3.2375989273147154
brics-odroid-027_cam0,anycalib_gen,4,5,3.20052588761914
brics-odroid-027_cam0,anycalib_gen,8,5,3.0415672409904153
brics-odroid-027_cam0,geocalib_distorted,1,5,12.838624374487669
brics-odroid-027_cam0,geocalib_distorted,2,5,12.81946530639027
brics-odroid-027_cam0,geocalib_distorted,4,5,14.037198968028962
brics-odroid-027_cam0,geocalib_distorted,8,5,13.937409922390431
brics-odroid-027_cam0,pf_uncentered,1,5,61.19258072803019
brics-odroid-027_cam0,pf_uncentered,2,5,61.19258072803019
brics-odroid-027_cam0,pf_uncentered,4,5,60.181476181999315
brics-odroid-027_cam0,pf_uncentered,8,5,59.16272011207708
brics-odroid-027_cam1,anycalib_gen,1,5,13.498860568204098
brics-odroid-027_cam1,anycalib_gen,2,5,13.4988605682041
brics-odroid-027_cam1,anycalib_gen,4,5,13.963435228370688
brics-odroid-027_cam1,anycalib_gen,8,5,14.083414385044653
brics-odroid-027_cam1,geocalib_distorted,1,5,16.32726158602127
brics-odroid-027_cam1,geocalib_distorted,2,5,16.32726158602127
brics-odroid-027_cam1,geocalib_distorted,4,5,17.393577870009633
brics-odroid-027_cam1,geocalib_distorted,8,5,18.612858917927902
