feature,group,target,spearman_rho,ci_lo_camera_cluster,ci_hi_camera_cluster,ci_excludes_zero,naive_p,n_views,deployable,evidence,bh_fdr_q_descriptive
local_contrast,F_IMAGE_GLOBAL,abs_log_bias,-0.00017465293327362295,-0.20980397124247174,0.20326386841340877,0,0.9981697474114185,175,yes,ASSOCIATION only - no causal claim,0.9981697474114186
laplacian_variance,F_IMAGE_GLOBAL,signed_log_bias,0.026206896551724135,-0.21786045516324234,0.2679082800073679,0,0.7306512890827227,175,yes,ASSOCIATION only - no causal claim,0.9025692394551281
laplacian_variance,F_IMAGE_GLOBAL,abs_log_bias,-0.043837886251679364,-0.2654614273818316,0.18498697159686836,0,0.5645869381651993,175,yes,ASSOCIATION only - no causal claim,0.7796624619327
border_edge_density,F_BORDER_SCENE,signed_log_bias,-0.1082994336651724,-0.3037252456744036,0.09425054974637437,0,0.15369546229774214,175,yes,ASSOCIATION only - no causal claim,0.3254920723951029
border_edge_density,F_BORDER_SCENE,abs_log_bias,0.12532138676747753,-0.06474989996601348,0.3136116564822871,0,0.0984353943649518,175,yes,ASSOCIATION only - no causal claim,0.24217089641768708
border_line_count,F_BORDER_SCENE,signed_log_bias,-0.07075754234336035,-0.26868365225779295,0.1255757246314004,0,0.3521157980176525,175,yes,ASSOCIATION only - no causal claim,0.5948536669024247
border_line_count,F_BORDER_SCENE,abs_log_bias,0.09481734590283525,-0.09036117793713624,0.2851338880626449,0,0.21197956320895656,175,yes,ASSOCIATION only - no causal claim,0.43193555633072667
border_long_line_count,F_BORDER_SCENE,signed_log_bias,0.040882275830579226,-0.1614085994953766,0.24735807290153558,0,0.5911498024017475,175,yes,ASSOCIATION only - no causal claim,0.8352951607230397
border_long_line_count,F_BORDER_SCENE,abs_log_bias,-0.08135863814139374,-0.2942391853450467,0.1284038519019711,0,0.2844680831424167,175,yes,ASSOCIATION only - no causal claim,0.47790637967926003
border_horizontal_line_fraction,F_BORDER_SCENE,signed_log_bias,-0.15105471957834854,-0.3521768070713153,0.0627248619412111,0,0.045998136259098384,175,yes,ASSOCIATION only - no causal claim,0.1756292475347393
border_horizontal_line_fraction,F_BORDER_SCENE,abs_log_bias,0.14628758748747675,-0.05855335679583912,0.3457053151718594,0,0.053391675797370086,175,yes,ASSOCIATION only - no causal claim,0.16017502739211026
border_vertical_line_fraction,F_BORDER_SCENE,signed_log_bias,0.14361845051500224,-0.0693731518974812,0.3425636094571429,0,0.057944219688735324,175,yes,ASSOCIATION only - no causal claim,0.17942632574671194
border_vertical_line_fraction,F_BORDER_SCENE,abs_log_bias,-0.14681818181818182,-0.34555259834636787,0.06680040899841143,0,0.05252292360027684,175,yes,ASSOCIATION only - no causal claim,0.16017502739211026
border_line_orientation_entropy,F_BORDER_SCENE,signed_log_bias,0.12756829377519036,-0.09143210002745088,0.33625737276595097,0,0.09249970927911634,175,yes,ASSOCIATION only - no causal claim,0.2428117368576804
border_line_orientation_entropy,F_BORDER_SCENE,abs_log_bias,-0.1612539184952978,-0.35940753973243594,0.050585901128691144,0,0.0330172534467183,175,yes,ASSOCIATION only - no causal claim,0.12606587679656078
border_grad_mag_mean,F_BORDER_SCENE,signed_log_bias,-0.11661218092252575,-0.31638528451073444,0.09790622541863307,0,0.12433569894913056,175,yes,ASSOCIATION only - no causal claim,0.30718231505079313
border_grad_mag_mean,F_BORDER_SCENE,abs_log_bias,0.12471562919838783,-0.0751933101284604,0.3163208454843339,0,0.10008618108413828,175,yes,ASSOCIATION only - no causal claim,0.24217089641768708
border_gray_std,F_BORDER_SCENE,signed_log_bias,0.02040976265114196,-0.18193489523626874,0.22284626532704618,0,0.7886309655828151,175,yes,ASSOCIATION only - no causal claim,0.9200694598466177
border_gray_std,F_BORDER_SCENE,abs_log_bias,-0.0224115539632781,-0.22120505615980807,0.17361077743229758,0,0.7684604508256164,175,yes,ASSOCIATION only - no causal claim,0.9492746745492908
self_pred_focal_px,F_MODEL_SELF,signed_log_bias,0.969460367218988,0.9460893654143246,0.9821940778184467,1,1.5752774456264015e-107,175,yes,ASSOCIATION only - no causal claim,6.616165271630886e-106
self_pred_focal_px,F_MODEL_SELF,abs_log_bias,-0.9062606359158084,-0.9590952137362129,-0.8265709378652171,1,1.353687676269161e-66,175,yes,ASSOCIATION only - no causal claim,5.685488240330476e-65
self_pred_focal_log_iqr,F_MODEL_SELF,signed_log_bias,-0.007272727272727274,-0.1473180948479908,0.13749931756338787,0,0.9239010722608639,175,yes,ASSOCIATION only - no causal claim,0.9533783134803864
